Time,air_temp,H,LE,ws,TKE,VWC,rad
,281.329,-19.9165,9.87179,2.91014,4.72294,0.247,-33.71701
,281.31,-35.3099,16.5221,5.0085,5.27173,0.247,-35.13016
,281.22,-40.9803,13.8297,5.9498,3.2177,0.247,-33.01719
,281.112,-41.3743,14.4144,5.7345,3.3397,0.246,-10.76344
,280.908,-42.1199,11.3267,5.105,4.29787,0.246,-11.35476
,280.701,-29.1673,5.52172,3.28457,5.75559,0.246,-13.32602
,281.16,1.89,18.6949,1.66783,3.63267,0.246,-21.21605
,281.78,17.5686,27.2331,1.74765,3.44604,0.246,-16.98955
,280.701,-29.1673,5.52172,3.28457,2.89277,0.245,-13.8623
,281.16,1.89,18.6949,1.66783,1.49698,0.244,184.088
,281.78,17.5686,27.2331,1.74765,1.4232,0.244,188.3537
,282.345,52.6072,67.3991,0.670669,0.548914,0.244,272.1158
,282.845,89.3775,74.1525,0.966513,0.954213,0.244,370.3486
,283.444,95.8651,74.6252,0.717228,1.68916,0.244,312.805
,284.034,105.573,85.5503,0.706377,2.65161,0.244,228.8027
,284.89,112.031,94.1399,2.6564,2.42561,0.244,454.4166
,285.612,146.635,120.852,1.69572,0.929293,0.247,599.5298
,286.123,172.414,142.78,3.128,1.47621,0.248,696.6955
,286.868,147.819,152.797,0.379584,3.21424,0.248,534.9026
12/30/99 13:00:00,287.265,192.291,115.687,3.81874,3.43356,0.249,282.1796
7/08/16 13:30:00,283.42,196.503,180.124,4.11204,2.06229,0.249,744.1927
7/08/16 14:00:00,284.136,183.318,183.624,2.42183,2.52659,0.25,692.4489
7/08/16 14:30:00,284.692,199.98,174.138,3.6057,1.6099,0.25,661.0927
7/08/16 15:00:00,283.989,66.0427,75.8608,3.03707,1.119,0.251,126.7192
7/08/16 15:30:00,284.227,91.484,91.1112,3.06701,2.70632,0.251,523.1423
7/08/16 16:00:00,284.703,116.838,107.426,3.63743,1.89917,0.25,488.6444
7/08/16 16:30:00,284.934,105.88,101.444,3.69991,1.41151,0.25,543.6423
7/08/16 17:00:00,285.216,95.9357,86.2345,3.76592,2.62643,0.25,388.125
7/08/16 17:30:00,285.465,163.062,129.556,3.97775,3.76857,0.25,513.5356
7/08/16 18:00:00,284.756,76.6302,80.6398,4.42691,3.31998,0.25,143.5843
7/08/16 18:30:00,284.525,81.4966,74.3147,5.07511,4.32234,0.25,219.8005
7/08/16 19:00:00,284.706,113.729,81.0584,4.534,5.02759,0.249,201.9359
7/08/16 20:00:00,284.079,24.5151,36.3226,5.2095,3.37048,0.248,47.65113
7/08/16 20:30:00,283.654,24.4622,36.6019,5.40324,2.55894,0.247,14.59536
7/08/16 21:00:00,283.129,-10.8463,29.911,5.72126,3.11164,0.247,-58.21714
7/08/16 21:30:00,282.769,-24.222,22.0504,5.19815,3.0475,0.246,-61.50808
7/08/16 22:00:00,282.447,-19.3563,12.6044,3.59375,3.34646,0.245,-76.50429
7/08/16 22:30:00,282.196,-24.3717,9.4583,2.48969,1.79765,0.245,-77.90501
7/08/16 23:00:00,282.243,-12.5096,2.54047,1.18079,0.607911,0.244,-75.03708
7/08/16 23:30:00,281.735,-22.7253,4.21484,2.11784,0.4844,0.243,-76.95972
7/10/16 00:30:00,279.685,-25.0481,22.9551,4.11187,0.601654,0.25,-26.10254
7/10/16 01:00:00,279.655,-22.5305,32.6662,4.49148,4.00171,0.25,-11.223
7/10/16 01:30:00,279.639,-22.6472,29.0688,4.03772,4.85966,0.249,-25.81593
7/10/16 02:00:00,279.227,-14.8476,20.4651,2.51454,4.38588,0.249,-24.26512
7/10/16 02:30:00,279.111,-20.588,17.6728,3.56454,2.2055,0.249,-56.49895
7/10/16 03:00:00,278.969,-27.5585,15.457,2.6535,1.71039,0.248,-70.04647
7/10/16 03:30:00,278.794,-38.9144,18.5162,3.95025,1.63184,0.248,-71.01855
7/10/16 04:00:00,278.703,-31.2794,14.4697,5.32693,1.89568,0.247,-61.0668
7/10/16 04:30:00,278.739,-29.5833,22.2425,5.25635,4.327,0.247,-56.34369
7/10/16 05:00:00,278.77,-29.9842,15.2036,5.35445,3.68054,0.247,-57.84214
7/10/16 05:30:00,278.775,-25.1728,14.686,2.88112,2.69751,0.246,-59.68718
7/10/16 06:00:00,278.601,-21.6877,12.3822,2.25264,1.78041,0.246,-31.84798
7/10/16 06:30:00,278.45,-18.4595,15.4385,1.83582,1.08784,0.246,-1.229801
7/10/16 07:00:00,278.529,-15.0803,12.383,2.01916,1.13989,0.245,31.27648
7/10/16 07:30:00,278.677,-11.1521,24.9971,3.10288,0.554952,0.245,89.9946
7/10/16 08:00:00,279.003,2.06336,28.5654,2.52181,0.967903,0.245,157.3874
7/10/16 08:30:00,279.342,20.7156,37.9701,1.58346,0.956952,0.245,136.1767
7/10/16 09:00:00,279.255,10.1221,35.8975,2.24941,0.869132,0.245,114.6238
7/10/16 09:30:00,279.771,45.2107,66.7216,1.20779,0.385698,0.245,421.0945
7/10/16 10:00:00,280.596,107.008,126.12,1.88905,1.10374,0.246,326.6874
7/10/16 10:30:00,280.396,51.5303,67.4115,2.65814,0.631061,0.246,243.4964
7/10/16 11:00:00,280.669,47.0981,65.212,1.15021,0.826372,0.246,205.8831
7/10/16 11:30:00,280.733,21.6289,46.3976,1.77531,0.770698,0.246,126.1311
7/10/16 12:00:00,280.965,15.4438,42.112,2.47984,0.789592,0.246,155.2171
,288.348,218.544,34.4324,3.07428,1.22704,0.246,397.8703
,288.324,183.809,34.4324,4.62845,1.61663,0.247,605.3962
,287.74,93.5372,30,2.32053,1.79043,0.247,315.3179
,287.165,14.0914,30,4.99523,1.28873,0.247,585.4223
,286.727,26.2026,30,6.00775,3.25153,0.248,740.4472
,286.282,4.88689,30,7.12746,1.78304,0.248,715.744
7/10/16 15:30:00,284.083,218.471,91.1112,4.71376,0.913148,0.249,687.9938
7/10/16 16:00:00,283.834,168.558,107.426,4.1965,2.97537,0.249,397.1224
7/10/16 16:30:00,283.661,64.0674,101.444,4.23323,2.85978,0.25,141.5376
7/10/16 17:00:00,283.608,34.8098,86.2345,3.83534,2.29707,0.249,136.7567
7/10/16 17:30:00,284.279,126.168,129.556,3.3221,1.64808,0.248,566.0397
7/10/16 18:00:00,283.966,50.5216,80.6398,2.72125,1.34248,0.248,32.02356
7/10/16 18:30:00,283.07,70.1601,74.3147,1.34142,1.37243,0.248,77.94836
7/10/16 19:00:00,281.576,21.5442,40.5685,3.56295,4.55567,0.247,41.99498
7/10/16 19:30:00,280.868,4.62535,61.6156,3.31389,3.53931,0.247,41.78636
7/10/16 20:00:00,280.248,6.79372,32.933,4.0705,3.0762,0.246,22.04138
7/10/16 20:30:00,280.214,4.0571,-2.50747,3.03248,2.15419,0.246,49.47606
7/10/16 21:00:00,280.039,-2.99255,13.2563,2.68999,1.38426,0.245,-13.36552
7/10/16 21:30:00,279.784,-4.77216,17.6428,2.31763,1.35121,0.244,-29.81097
7/10/16 22:00:00,279.371,-7.19351,10.7808,2.46654,1.47052,0.244,-21.69779
7/10/16 22:30:00,279.514,-4.48592,8.59883,2.85252,1.57997,0.243,-19.15612
7/10/16 23:00:00,279.096,-6.34869,18.4347,2.91446,1.14503,0.243,-12.54582
7/10/16 23:30:00,278.919,2.03297,0,1.23591,1.51101,0.243,-8.14819
,279.685,-25.0481,22.9551,4.11187,0.601654,0.237,-80.85243
,279.655,-22.5305,32.6662,4.49148,4.00171,0.237,-78.03747
,279.639,-22.6472,29.0688,4.03772,4.85966,0.237,-74.45872
,279.227,-14.8476,20.4651,2.51454,4.38588,0.236,-68.61475
,279.111,-20.588,17.6728,3.56454,2.2055,0.236,-71.1357
,278.969,-27.5585,15.457,2.6535,1.71039,0.236,-70.20528
,278.794,-38.9144,18.5162,3.95025,1.63184,0.235,-72.05309
,278.703,-31.2794,14.4697,5.32693,1.89568,0.235,-71.57101
,278.739,-29.5833,22.2425,5.25635,4.327,0.234,-73.16764
,278.77,-29.9842,15.2036,5.35445,3.68054,0.234,-73.30167
,278.775,-25.1728,14.686,2.88112,2.69751,0.234,-68.11343
,278.601,-21.6877,12.3822,2.25264,1.78041,0.233,-63.42949
,278.45,-18.4595,15.4385,1.83582,1.08784,0.233,-34.57048
,278.529,-15.0803,12.383,2.01916,1.13989,0.233,8.581903
,278.677,-11.1521,24.9971,3.10288,0.554952,0.233,62.1229
,279.003,2.06336,28.5654,2.52181,0.967903,0.232,57.05735
,279.342,20.7156,37.9701,1.58346,0.956952,0.232,77.24944
,279.255,10.1221,35.8975,2.24941,0.869132,0.232,167.6989
,279.771,45.2107,66.7216,1.20779,0.385698,0.232,252.867
,280.596,107.008,126.12,1.88905,1.10374,0.233,385.3596
,280.396,51.5303,67.4115,2.65814,0.631061,0.233,465.18
7/22/16 11:00:00,286.875,105.558,65.212,0.632811,0.73601,0.233,496.3365
7/22/16 11:30:00,287.531,88.3953,46.3976,0.568488,0.957836,0.234,564.8485
7/22/16 12:00:00,287.872,131.78,42.112,2.60646,1.32949,0.234,629.2455
7/22/16 12:30:00,288.348,218.544,34.4324,3.07428,1.22704,0.235,627.3371
7/22/16 13:00:00,288.324,183.809,34.4324,4.62845,1.61663,0.236,682.1921
7/22/16 13:30:00,287.74,93.5372,30,2.32053,1.79043,0.237,247.5996
7/22/16 14:00:00,287.165,14.0914,30,4.99523,1.28873,0.237,162.9125
7/22/16 14:30:00,286.727,26.2026,30,6.00775,3.25153,0.237,119.4549
7/22/16 15:00:00,286.282,4.88689,30,7.12746,1.78304,0.236,66.33779
7/22/16 15:30:00,285.415,3.20138,93.4719,5.17196,2.0097,0.236,109.1657
7/22/16 16:00:00,284.753,38.0032,147.132,1.03436,6.82073,0.235,325.471
7/22/16 16:30:00,284.927,108.708,97.1745,4.06893,6.60468,0.235,277.972
7/22/16 17:00:00,283.926,89.4502,156.659,6.34428,5.10367,0.235,344.3142
7/22/16 17:30:00,283.329,99.5119,75.6352,5.58102,6.41289,0.235,333.1557
7/22/16 18:00:00,283.502,40.3593,31.5568,5.6853,6.55594,0.235,85.20319
7/22/16 18:30:00,283.18,15.2756,35.0479,5.28141,2.92269,0.234,43.47058
7/22/16 19:00:00,282.955,36.6191,22.5206,5.57688,3.44807,0.234,74.201
7/22/16 19:30:00,282.664,26.2172,28.3561,6.36808,5.08823,0.233,67.09937
7/22/16 20:00:00,282.409,19.0274,25.5464,7.1544,5.79219,0.233,41.82944
7/22/16 20:30:00,282.566,21.5796,35.3201,5.35226,4.87781,0.233,57.37658
7/22/16 21:00:00,282.018,-9.40427,18.8554,7.20679,5.11943,0.232,-13.07126
7/22/16 21:30:00,281.973,-14.09,17.9375,8.39661,3.01243,0.232,-27.18433
7/22/16 22:00:00,281.095,-37.5354,13.6231,8.62464,4.17172,0.231,-36.27204
7/23/16 02:00:00,281.085,-41.7323,13.1102,8.31611,4.23934,0.229,-78.61688
7/23/16 02:30:00,281.1,-44.6488,22.4274,7.8292,2.88874,0.228,-75.13693
7/23/16 03:00:00,280.844,-37.2161,15.2303,6.55213,4.30968,0.228,-74.00401
7/23/16 03:30:00,280.796,-48.7903,24.9938,6.51591,3.873,0.228,-68.46504
7/23/16 04:00:00,280.777,-38.1514,22.4542,4.85527,4.57204,0.228,-74.67797
7/23/16 04:30:00,280.628,-30.3588,16.1234,7.4782,4.27312,0.227,-49.52836
7/23/16 05:00:00,280.485,-33.012,15.8638,7.0794,3.44476,0.227,-46.11814
7/23/16 05:30:00,280.428,-23.5204,12.4131,4.37653,5.16444,0.227,-60.86187
7/23/16 06:00:00,280.315,-17.2252,10.601,4.13594,3.44457,0.227,-31.61119
7/23/16 06:30:00,280.512,-11.3232,12.411,5.19244,2.66401,0.226,-27.93554
7/23/16 07:00:00,280.521,-9.84473,22.2083,7.55214,2.47949,0.226,9.188946
7/23/16 07:30:00,280.497,17.0995,25.0033,6.94234,5.04575,0.226,34.94566
7/23/16 08:00:00,280.532,20.5811,23.6121,8.18476,5.23804,0.226,81.22794
7/23/16 08:30:00,280.735,22.1226,24.386,7.57733,7.40994,0.226,93.4615
7/23/16 09:00:00,280.773,27.1443,26.187,2.65352,9.93088,0.226,71.44566
7/23/16 09:30:00,280.866,41.5206,36.4588,1.40279,9.59568,0.226,130.7199
7/23/16 10:00:00,281.054,24.4027,71.2165,1.99487,6.69927,0.226,151.7248
7/23/16 10:30:00,281.442,93.7016,44.9371,4.86316,5.32505,0.226,185.7832
7/23/16 11:00:00,281.472,76.5383,32.2216,4.82686,6.64879,0.226,219.6043
7/23/16 11:30:00,282.335,234.35,100.041,6.13793,9.43698,0.226,239.6592
7/23/16 12:00:00,282.709,260.745,119.921,6.2831,9.63264,0.227,759.3776
7/23/16 12:30:00,282.561,65.9666,25.8624,6.84575,7.63386,0.227,504.3773
7/23/16 13:00:00,282.451,69.5844,34.4324,7.51035,10.0958,0.228,862.0725
,287.74,93.5372,30,2.32053,1.79043,0.228,623.6924
,287.165,14.0914,30,4.99523,1.28873,0.229,754.0399
,286.727,26.2026,30,6.00775,3.25153,0.23,713.1199
,286.282,4.88689,30,7.12746,1.78304,0.23,301.6675
,285.415,3.20138,93.4719,5.17196,2.0097,0.23,301.3945
,284.753,38.0032,147.132,1.03436,6.82073,0.23,381.4517
,284.927,108.708,97.1745,4.06893,6.60468,0.23,152.5685
7/23/16 17:00:00,282.562,53.6289,14.9561,7.10492,9.24588,0.229,111.2867
7/23/16 17:30:00,282.271,26.0291,40.0833,7.79316,7.10615,0.229,172.191
7/23/16 18:00:00,282.283,20.9699,95.2131,6.83402,8.41109,0.229,93.96819
7/23/16 18:30:00,281.807,-25.926,121.191,8.34283,9.72653,0.228,85.94524
7/23/16 19:00:00,281.946,-19.8909,47.8009,8.60419,12.0013,0.228,56.91872
7/23/16 19:30:00,281.88,-20.1332,42.0089,10.8437,9.37941,0.227,53.73172
7/23/16 20:00:00,281.867,-26.0374,34.2008,9.92626,10.7837,0.226,-3.520218
7/23/16 20:30:00,281.943,-16.9834,18.8008,9.34351,9.94299,0.226,-29.66185
7/23/16 21:00:00,281.93,-13.5811,15.5786,6.04717,7.29441,0.225,-34.18738
7/23/16 21:30:00,281.955,-14.276,13.1572,6.33458,7.71956,0.225,-28.48154
7/23/16 22:00:00,281.788,-21.9212,18.2589,5.36491,9.85502,0.224,-27.78089
7/23/16 22:30:00,281.736,-18.3375,14.4323,4.63197,8.88825,0.224,-29.58408
7/23/16 23:00:00,281.572,-23.1538,15.8886,4.54435,6.99328,0.224,-42.06971
7/23/16 23:30:00,281.508,-28.8667,13.0256,3.75806,6.71328,0.223,-32.05242
7/24/16 00:00:00,281.329,-19.9165,9.87179,2.91014,4.72294,0.223,-46.62224
7/24/16 00:30:00,281.31,-35.3099,16.5221,5.0085,5.27173,0.223,-59.91854
7/24/16 01:00:00,281.22,-40.9803,13.8297,5.9498,3.2177,0.222,-46.83279
7/24/16 01:30:00,281.112,-41.3743,14.4144,5.7345,3.3397,0.222,-76.12963
7/24/16 02:00:00,280.908,-42.1199,11.3267,5.105,4.29787,0.222,-78.63633
7/24/16 02:30:00,280.701,-29.1673,5.52172,3.28457,5.75559,0.221,-78.86841
7/24/16 03:00:00,281.16,1.89,18.6949,1.66783,3.63267,0.221,-76.8214
7/24/16 03:30:00,281.78,17.5686,27.2331,1.74765,3.44604,0.221,-77.7662
7/24/16 04:00:00,280.701,-29.1673,5.52172,3.28457,2.89277,0.22,-74.80123
7/24/16 08:00:00,281.16,1.89,18.6949,1.66783,1.49698,0.219,122.7361
7/24/16 08:30:00,281.78,17.5686,27.2331,1.74765,1.4232,0.219,186.53
7/24/16 09:00:00,282.345,52.6072,67.3991,0.670669,0.548914,0.219,250.7352
7/24/16 09:30:00,282.845,89.3775,74.1525,0.966513,0.954213,0.219,321.8771
7/24/16 10:00:00,283.444,95.8651,74.6252,0.717228,1.68916,0.219,382.5653
7/24/16 10:30:00,284.034,105.573,85.5503,0.706377,2.65161,0.22,438.8508
7/24/16 11:00:00,284.89,112.031,94.1399,2.6564,2.42561,0.22,493.5522
7/24/16 11:30:00,285.612,146.635,120.852,1.69572,0.929293,0.22,531.2535
7/24/16 12:00:00,286.123,172.414,142.78,3.128,1.47621,0.221,579.5042
7/24/16 12:30:00,286.868,147.819,152.797,0.379584,3.21424,0.222,593.4034
7/24/16 13:00:00,287.265,192.291,115.687,3.81874,3.43356,0.222,626.7542
7/24/16 13:30:00,287.693,206.454,152.477,4.28727,2.90882,0.223,634.2035
7/24/16 14:00:00,287.829,233.8,159.089,2.14828,3.82686,0.224,634.182
7/24/16 14:30:00,288.403,209.559,170.004,0.761938,4.25608,0.225,566.0706
7/24/16 15:00:00,288.459,223.682,132.801,3.33359,2.88412,0.225,525.108
7/24/16 15:30:00,287.677,129.251,57.6636,7.57074,6.57567,0.225,221.9332
7/24/16 16:00:00,287.781,111.392,73.5746,6.80544,10.2236,0.225,194.4717
7/24/16 16:30:00,288.311,252.815,138.514,6.50522,8.01398,0.225,577.7517
7/24/16 17:00:00,288.666,218.846,102.055,6.51927,10.6245,0.225,513.2374
7/24/16 17:30:00,288.793,203.349,85.4674,7.80772,10.0973,0.225,308.7318
7/24/16 18:00:00,288.279,98.6642,60.7512,9.61138,11.0048,0.224,58.7271
7/24/16 18:30:00,288.195,93.9832,48.1209,9.87774,8.60003,0.224,288.8666
7/24/16 19:00:00,288.307,105.968,60.0765,8.67471,9.43837,0.223,145.0646
,284.079,24.5151,36.3226,5.2095,3.37048,0.222,55.80747
,283.654,24.4622,36.6019,5.40324,2.55894,0.221,-26.14872
,283.129,-10.8463,29.911,5.72126,3.11164,0.221,-64.482
,282.769,-24.222,22.0504,5.19815,3.0475,0.22,-76.81665
,282.447,-19.3563,12.6044,3.59375,3.34646,0.219,-80.4454
,282.196,-24.3717,9.4583,2.48969,1.79765,0.218,-82.70685
,282.243,-12.5096,2.54047,1.18079,0.607911,0.218,-77.89972
,281.735,-22.7253,4.21484,2.11784,0.4844,0.217,-80.95096